wavelength,species,dl,sensitivity,photoreceptor
300,cod,light,0.177142312,sw
301,cod,light,0.182126086,sw
302,cod,light,0.187086212,sw
303,cod,light,0.192013873,sw
304,cod,light,0.196900189,sw
305,cod,light,0.201736265,sw
306,cod,light,0.206513219,sw
307,cod,light,0.211222228,sw
308,cod,light,0.215854566,sw
309,cod,light,0.220401644,sw
310,cod,light,0.22485505,sw
311,cod,light,0.229206594,sw
312,cod,light,0.233448348,sw
313,cod,light,0.237572686,sw
314,cod,light,0.241572327,sw
315,cod,light,0.245440373,sw
316,cod,light,0.249170351,sw
317,cod,light,0.252756252,sw
318,cod,light,0.256192565,sw
319,cod,light,0.259474314,sw
320,cod,light,0.262597094,sw
321,cod,light,0.265557099,sw
322,cod,light,0.268351158,sw
323,cod,light,0.270976754,sw
324,cod,light,0.273432056,sw
325,cod,light,0.275715939,sw
326,cod,light,0.277828002,sw
327,cod,light,0.279768587,sw
328,cod,light,0.28153879,sw
329,cod,light,0.283140473,sw
330,cod,light,0.284576272,sw
331,cod,light,0.285849596,sw
332,cod,light,0.286964633,sw
333,cod,light,0.287926343,sw
334,cod,light,0.288740454,sw
335,cod,light,0.28941345,sw
336,cod,light,0.289952559,sw
337,cod,light,0.290365736,sw
338,cod,light,0.290661644,sw
339,cod,light,0.290849629,sw
340,cod,light,0.290939698,sw
341,cod,light,0.290942485,sw
342,cod,light,0.290869222,sw
343,cod,light,0.290731705,sw
344,cod,light,0.290542254,sw
345,cod,light,0.290313679,sw
346,cod,light,0.29005923,sw
347,cod,light,0.289792564,sw
348,cod,light,0.289527688,sw
349,cod,light,0.289278922,sw
350,cod,light,0.289060845,sw
351,cod,light,0.288888244,sw
352,cod,light,0.288776068,sw
353,cod,light,0.288739373,sw
354,cod,light,0.288793271,sw
355,cod,light,0.288952874,sw
356,cod,light,0.289233248,sw
357,cod,light,0.289649351,sw
358,cod,light,0.29021599,sw
359,cod,light,0.290947759,sw
360,cod,light,0.291858994,sw
361,cod,light,0.292963719,sw
362,cod,light,0.294275598,sw
363,cod,light,0.295807881,sw
364,cod,light,0.297573361,sw
365,cod,light,0.299584328,sw
366,cod,light,0.301852519,sw
367,cod,light,0.30438908,sw
368,cod,light,0.307204524,sw
369,cod,light,0.31030869,sw
370,cod,light,0.313710707,sw
371,cod,light,0.317418961,sw
372,cod,light,0.321441059,sw
373,cod,light,0.325783805,sw
374,cod,light,0.330453168,sw
375,cod,light,0.335454261,sw
376,cod,light,0.340791318,sw
377,cod,light,0.346467676,sw
378,cod,light,0.352485761,sw
379,cod,light,0.358847075,sw
380,cod,light,0.365552184,sw
381,cod,light,0.372600719,sw
382,cod,light,0.379991364,sw
383,cod,light,0.387721866,sw
384,cod,light,0.39578903,sw
385,cod,light,0.404188735,sw
386,cod,light,0.412915933,sw
387,cod,light,0.421964672,sw
388,cod,light,0.431328107,sw
389,cod,light,0.440998519,sw
390,cod,light,0.450967338,sw
391,cod,light,0.461225165,sw
392,cod,light,0.471761803,sw
393,cod,light,0.482566282,sw
394,cod,light,0.493626889,sw
395,cod,light,0.504931205,sw
396,cod,light,0.516466137,sw
397,cod,light,0.528217953,sw
398,cod,light,0.540172321,sw
399,cod,light,0.552314343,sw
400,cod,light,0.564628597,sw
401,cod,light,0.577099174,sw
402,cod,light,0.589709713,sw
403,cod,light,0.602443444,sw
404,cod,light,0.615283222,sw
405,cod,light,0.628211563,sw
406,cod,light,0.641210683,sw
407,cod,light,0.654262526,sw
408,cod,light,0.667348801,sw
409,cod,light,0.68045101,sw
410,cod,light,0.693550475,sw
411,cod,light,0.706628368,sw
412,cod,light,0.719665732,sw
413,cod,light,0.732643503,sw
414,cod,light,0.745542529,sw
415,cod,light,0.75834359,sw
416,cod,light,0.771027405,sw
417,cod,light,0.783574652,sw
418,cod,light,0.795965975,sw
419,cod,light,0.80818199,sw
420,cod,light,0.820203295,sw
421,cod,light,0.832010472,sw
422,cod,light,0.84358409,sw
423,cod,light,0.854904712,sw
424,cod,light,0.865952891,sw
425,cod,light,0.876709176,sw
426,cod,light,0.887154113,sw
427,cod,light,0.897268247,sw
428,cod,light,0.90703213,sw
429,cod,light,0.916426321,sw
430,cod,light,0.9254314,sw
431,cod,light,0.934027978,sw
432,cod,light,0.942196708,sw
433,cod,light,0.949918312,sw
434,cod,light,0.957173599,sw
435,cod,light,0.963943493,sw
436,cod,light,0.970209072,sw
437,cod,light,0.975951609,sw
438,cod,light,0.981152614,sw
439,cod,light,0.985793894,sw
440,cod,light,0.989857615,sw
441,cod,light,0.993326367,sw
442,cod,light,0.996183243,sw
443,cod,light,0.998411925,sw
444,cod,light,0.999996774,sw
445,cod,light,1.000922928,sw
446,cod,light,1.001176407,sw
447,cod,light,1.000744223,sw
448,cod,light,0.999614496,sw
449,cod,light,0.997776573,sw
450,cod,light,0.995221148,sw
451,cod,light,0.991940383,sw
452,cod,light,0.987928035,sw
453,cod,light,0.983179568,sw
454,cod,light,0.977692274,sw
455,cod,light,0.971465375,sw
456,cod,light,0.964500132,sw
457,cod,light,0.956799927,sw
458,cod,light,0.948370345,sw
459,cod,light,0.939219235,sw
460,cod,light,0.929356759,sw
461,cod,light,0.918795421,sw
462,cod,light,0.907550075,sw
463,cod,light,0.895637917,sw
464,cod,light,0.88307845,sw
465,cod,light,0.869893439,sw
466,cod,light,0.856106826,sw
467,cod,light,0.841744644,sw
468,cod,light,0.826834893,sw
469,cod,light,0.811407412,sw
470,cod,light,0.795493722,sw
471,cod,light,0.779126859,sw
472,cod,light,0.762341195,sw
473,cod,light,0.745172245,sw
474,cod,light,0.727656467,sw
475,cod,light,0.709831059,sw
476,cod,light,0.691733754,sw
477,cod,light,0.673402612,sw
478,cod,light,0.654875822,sw
479,cod,light,0.636191505,sw
480,cod,light,0.617387533,sw
481,cod,light,0.598501349,sw
482,cod,light,0.579569809,sw
483,cod,light,0.560629034,sw
484,cod,light,0.541714277,sw
485,cod,light,0.522859808,sw
486,cod,light,0.504098816,sw
487,cod,light,0.485463318,sw
488,cod,light,0.466984094,sw
489,cod,light,0.448690633,sw
490,cod,light,0.430611082,sw
491,cod,light,0.412772223,sw
492,cod,light,0.395199442,sw
493,cod,light,0.377916719,sw
494,cod,light,0.360946615,sw
495,cod,light,0.344310269,sw
496,cod,light,0.328027387,sw
497,cod,light,0.312116245,sw
498,cod,light,0.29659368,sw
499,cod,light,0.281475085,sw
500,cod,light,0.266774396,sw
501,cod,light,0.252504085,sw
502,cod,light,0.238675142,sw
503,cod,light,0.225297056,sw
504,cod,light,0.212377801,sw
505,cod,light,0.199923815,sw
506,cod,light,0.187939986,sw
507,cod,light,0.176429636,sw
508,cod,light,0.165394518,sw
509,cod,light,0.154834811,sw
510,cod,light,0.144749136,sw
511,cod,light,0.135134567,sw
512,cod,light,0.12598667,sw
513,cod,light,0.117299546,sw
514,cod,light,0.109065889,sw
515,cod,light,0.101277056,sw
516,cod,light,0.093923155,sw
517,cod,light,0.086993142,sw
518,cod,light,0.080474927,sw
519,cod,light,0.074355491,sw
520,cod,light,0.068621012,sw
521,cod,light,0.063256993,sw
522,cod,light,0.05824839,sw
523,cod,light,0.05357975,sw
524,cod,light,0.049235334,sw
525,cod,light,0.045199245,sw
526,cod,light,0.041455546,sw
527,cod,light,0.037988372,sw
528,cod,light,0.034782033,sw
529,cod,light,0.031821103,sw
530,cod,light,0.029090505,sw
531,cod,light,0.02657558,sw
532,cod,light,0.024262147,sw
533,cod,light,0.022136553,sw
534,cod,light,0.02018571,sw
535,cod,light,0.018397122,sw
536,cod,light,0.016758911,sw
537,cod,light,0.015259818,sw
538,cod,light,0.013889217,sw
539,cod,light,0.012637107,sw
540,cod,light,0.011494101,sw
541,cod,light,0.010451418,sw
542,cod,light,0.009500866,sw
543,cod,light,0.008634816,sw
544,cod,light,0.007846183,sw
545,cod,light,0.007128403,sw
546,cod,light,0.006475403,sw
547,cod,light,0.005881579,sw
548,cod,light,0.005341764,sw
549,cod,light,0.004851206,sw
550,cod,light,0.004405537,sw
551,cod,light,0.004000752,sw
552,cod,light,0.003633181,sw
553,cod,light,0.003299464,sw
554,cod,light,0.002996529,sw
555,cod,light,0.002721573,sw
556,cod,light,0.002472035,sw
557,cod,light,0.002245583,sw
558,cod,light,0.002040091,sw
559,cod,light,0.001853624,sw
560,cod,light,0.001684422,sw
561,cod,light,0.001530883,sw
562,cod,light,0.001391554,sw
563,cod,light,0.001265112,sw
564,cod,light,0.001150358,sw
565,cod,light,0.001046203,sw
566,cod,light,0.00095166,sw
567,cod,light,0.00086583,sw
568,cod,light,0.000787903,sw
569,cod,light,0.00071714,sw
570,cod,light,0.000652874,sw
571,cod,light,0.000594499,sw
572,cod,light,0.000541467,sw
573,cod,light,0.000493279,sw
574,cod,light,0.000449486,sw
575,cod,light,0.000409679,sw
576,cod,light,0.000373489,sw
577,cod,light,0.00034058,sw
578,cod,light,0.000310648,sw
579,cod,light,0.000283418,sw
580,cod,light,0.000258641,sw
581,cod,light,0.00023609,sw
582,cod,light,0.000215562,sw
583,cod,light,0.00019687,sw
584,cod,light,0.000179846,sw
585,cod,light,0.000164338,sw
586,cod,light,0.000150206,sw
587,cod,light,0.000137327,sw
588,cod,light,0.000125585,sw
589,cod,light,0.000114878,sw
590,cod,light,0.000105112,sw
591,cod,light,9.62E-05,sw
592,cod,light,8.81E-05,sw
593,cod,light,8.06E-05,sw
594,cod,light,7.39E-05,sw
595,cod,light,6.77E-05,sw
596,cod,light,6.20E-05,sw
597,cod,light,5.69E-05,sw
598,cod,light,5.21E-05,sw
599,cod,light,4.78E-05,sw
600,cod,light,4.39E-05,sw
601,cod,light,4.03E-05,sw
602,cod,light,3.70E-05,sw
603,cod,light,3.39E-05,sw
604,cod,light,3.12E-05,sw
605,cod,light,2.86E-05,sw
606,cod,light,2.63E-05,sw
607,cod,light,2.42E-05,sw
608,cod,light,2.22E-05,sw
609,cod,light,2.05E-05,sw
610,cod,light,1.88E-05,sw
611,cod,light,1.73E-05,sw
612,cod,light,1.59E-05,sw
613,cod,light,1.47E-05,sw
614,cod,light,1.35E-05,sw
615,cod,light,1.24E-05,sw
616,cod,light,1.15E-05,sw
617,cod,light,1.06E-05,sw
618,cod,light,9.74E-06,sw
619,cod,light,8.98E-06,sw
620,cod,light,8.28E-06,sw
621,cod,light,7.64E-06,sw
622,cod,light,7.05E-06,sw
623,cod,light,6.51E-06,sw
624,cod,light,6.01E-06,sw
625,cod,light,5.55E-06,sw
626,cod,light,5.13E-06,sw
627,cod,light,4.74E-06,sw
628,cod,light,4.38E-06,sw
629,cod,light,4.05E-06,sw
630,cod,light,3.74E-06,sw
631,cod,light,3.46E-06,sw
632,cod,light,3.20E-06,sw
633,cod,light,2.96E-06,sw
634,cod,light,2.74E-06,sw
635,cod,light,2.54E-06,sw
636,cod,light,2.35E-06,sw
637,cod,light,2.18E-06,sw
638,cod,light,2.02E-06,sw
639,cod,light,1.87E-06,sw
640,cod,light,1.73E-06,sw
641,cod,light,1.61E-06,sw
642,cod,light,1.49E-06,sw
643,cod,light,1.38E-06,sw
644,cod,light,1.28E-06,sw
645,cod,light,1.19E-06,sw
646,cod,light,1.10E-06,sw
647,cod,light,1.02E-06,sw
648,cod,light,9.51E-07,sw
649,cod,light,8.83E-07,sw
650,cod,light,8.20E-07,sw
651,cod,light,7.62E-07,sw
652,cod,light,7.08E-07,sw
653,cod,light,6.59E-07,sw
654,cod,light,6.12E-07,sw
655,cod,light,5.70E-07,sw
656,cod,light,5.30E-07,sw
657,cod,light,4.93E-07,sw
658,cod,light,4.59E-07,sw
659,cod,light,4.27E-07,sw
660,cod,light,3.98E-07,sw
661,cod,light,3.70E-07,sw
662,cod,light,3.45E-07,sw
663,cod,light,3.21E-07,sw
664,cod,light,2.99E-07,sw
665,cod,light,2.79E-07,sw
666,cod,light,2.60E-07,sw
667,cod,light,2.43E-07,sw
668,cod,light,2.26E-07,sw
669,cod,light,2.11E-07,sw
670,cod,light,1.97E-07,sw
671,cod,light,1.84E-07,sw
672,cod,light,1.71E-07,sw
673,cod,light,1.60E-07,sw
674,cod,light,1.49E-07,sw
675,cod,light,1.40E-07,sw
676,cod,light,1.30E-07,sw
677,cod,light,1.22E-07,sw
678,cod,light,1.14E-07,sw
679,cod,light,1.06E-07,sw
680,cod,light,9.95E-08,sw
681,cod,light,9.31E-08,sw
682,cod,light,8.70E-08,sw
683,cod,light,8.14E-08,sw
684,cod,light,7.62E-08,sw
685,cod,light,7.13E-08,sw
686,cod,light,6.67E-08,sw
687,cod,light,6.25E-08,sw
688,cod,light,5.85E-08,sw
689,cod,light,5.48E-08,sw
690,cod,light,5.13E-08,sw
691,cod,light,4.81E-08,sw
692,cod,light,4.50E-08,sw
693,cod,light,4.22E-08,sw
694,cod,light,3.96E-08,sw
