,wavelength,sensitivity
1,300,0
2,301,0
3,302,0
4,303,0
5,304,0
6,305,0
7,306,0
8,307,0.003
9,308,0.007
10,309,0.011
11,310,0.015
12,311,0.022
13,312,0.035
14,313,0.048
15,314,0.058
16,315,0.067
17,316,0.077
18,317,0.088
19,318,0.1
20,319,0.111
21,320,0.117
22,321,0.118
23,322,0.119
24,323,0.12
25,324,0.122
26,325,0.123
27,326,0.122
28,327,0.117
29,328,0.112
30,329,0.107
31,330,0.101
32,331,0.096
33,332,0.091
34,333,0.086
35,334,0.081
36,335,0.076
37,336,0.072
38,337,0.067
39,338,0.063
40,339,0.058
41,340,0.054
42,341,0.05
43,342,0.047
44,343,0.044
45,344,0.041
46,345,0.039
47,346,0.036
48,347,0.033
49,348,0.031
50,349,0.03
51,350,0.028
52,351,0.027
53,352,0.026
54,353,0.024
55,354,0.023
56,355,0.023
57,356,0.023
58,357,0.023
59,358,0.023
60,359,0.023
61,360,0.023
62,361,0.023
63,362,0.023
64,363,0.023
65,364,0.025
66,365,0.027
67,366,0.029
68,367,0.031
69,368,0.033
70,369,0.035
71,370,0.036
72,371,0.038
73,372,0.04
74,373,0.045
75,374,0.05
76,375,0.056
77,376,0.061
78,377,0.066
79,378,0.071
80,379,0.084
81,380,0.101
82,381,0.118
83,382,0.14
84,383,0.167
85,384,0.194
86,385,0.224
87,386,0.254
88,387,0.303
89,388,0.368
90,389,0.424
91,390,0.472
92,391,0.507
93,392,0.542
94,393,0.573
95,394,0.603
96,395,0.637
97,396,0.677
98,397,0.716
99,398,0.754
100,399,0.798
101,400,0.837
102,401,0.857
103,402,0.877
104,403,0.895
105,404,0.901
106,405,0.906
107,406,0.912
108,407,0.918
109,408,0.923
110,409,0.929
111,410,0.935
112,411,0.939
113,412,0.943
114,413,0.947
115,414,0.95
116,415,0.954
117,416,0.958
118,417,0.961
119,418,0.963
120,419,0.965
121,420,0.966
122,421,0.968
123,422,0.969
124,423,0.971
125,424,0.972
126,425,0.974
127,426,0.975
128,427,0.977
129,428,0.978
130,429,0.978
131,430,0.978
132,431,0.979
133,432,0.979
134,433,0.98
135,434,0.98
136,435,0.981
137,436,0.981
138,437,0.981
139,438,0.982
140,439,0.982
141,440,0.983
142,441,0.983
143,442,0.983
144,443,0.984
145,444,0.984
146,445,0.984
147,446,0.985
148,447,0.985
149,448,0.985
150,449,0.986
151,450,0.986
152,451,0.986
153,452,0.987
154,453,0.987
155,454,0.987
156,455,0.988
157,456,0.989
158,457,0.99
159,458,0.991
160,459,0.992
161,460,0.993
162,461,0.994
163,462,0.995
164,463,0.996
165,464,0.997
166,465,0.998
167,466,0.999
168,467,1
169,468,1
170,469,1
171,470,1
172,471,1
173,472,1
174,473,1
175,474,1
176,475,1
177,476,1
178,477,1
179,478,1
180,479,1
181,480,1
182,481,1
183,482,1
184,483,1
185,484,1
186,485,1
187,486,1
188,487,1
189,488,1
190,489,1
191,490,1
192,491,1
193,492,1
194,493,1
195,494,1
196,495,1
197,496,1
198,497,1
199,498,1
200,499,1
201,500,1
202,501,1
203,502,1
204,503,1
205,504,1
206,505,1
207,506,1
208,507,1
209,508,1
210,509,1
211,510,1
212,511,1
213,512,1
214,513,1
215,514,1
216,515,1
217,516,1
218,517,1
219,518,1
220,519,1
221,520,1
222,521,1
223,522,1
224,523,1
225,524,1
226,525,1
227,526,1
228,527,1
229,528,1
230,529,1
231,530,1
232,531,1
233,532,1
234,533,1
235,534,1
236,535,1
237,536,1
238,537,1
239,538,1
240,539,1
241,540,1
242,541,1
243,542,1
244,543,1
245,544,1
246,545,1
247,546,1
248,547,1
249,548,1
250,549,1
251,550,1
252,551,1
253,552,1
254,553,1
255,554,1
256,555,1
257,556,1
258,557,1
259,558,1
260,559,1
261,560,1
262,561,1
263,562,1
264,563,1
265,564,1
266,565,1
267,566,1
268,567,1
269,568,1
270,569,1
271,570,1
272,571,1
273,572,1
274,573,1
275,574,1
276,575,1
277,576,1
278,577,1
279,578,1
280,579,1
281,580,1
282,581,1
283,582,1
284,583,1
285,584,1
286,585,1
287,586,1
288,587,1
289,588,1
290,589,1
291,590,1
292,591,1
293,592,1
294,593,1
295,594,1
296,595,1
297,596,1
298,597,1
299,598,1
300,599,1
301,600,1
302,601,1
303,602,1
304,603,1
305,604,1
306,605,1
307,606,1
308,607,1
309,608,1
310,609,1
311,610,1
312,611,1
313,612,1
314,613,1
315,614,1
316,615,1
317,616,1
318,617,1
319,618,1
320,619,1
321,620,1
322,621,1
323,622,1
324,623,1
325,624,1
326,625,1
327,626,1
328,627,1
329,628,1
330,629,1
331,630,1
332,631,1
333,632,1
334,633,1
335,634,1
336,635,1
337,636,1
338,637,1
339,638,1
340,639,1
341,640,1
342,641,1
343,642,1
344,643,1
345,644,1
346,645,1
347,646,1
348,647,1
349,648,1
350,649,1
351,650,1
352,651,1
353,652,1
354,653,1
355,654,1
356,655,1
357,656,1
358,657,1
359,658,1
360,659,1
361,660,1
362,661,1
363,662,1
364,663,1
365,664,1
366,665,1
367,666,1
368,667,1
369,668,1
370,669,1
371,670,1
372,671,1
373,672,1
374,673,1
375,674,1
376,675,1
377,676,1
378,677,1
379,678,1
380,679,1
381,680,1
382,681,1
383,682,1
384,683,1
385,684,1
386,685,1
387,686,1
388,687,1
389,688,1
390,689,1
391,690,1
392,691,1
393,692,1
394,693,1
395,694,1
396,695,1
397,696,1
398,697,1
399,698,1
400,699,1
401,700,1
