"","wavelength","irradiance_20m","irradiance_50m","irradiance_100m","irradiance_200m"
"1","300","0","0","0","0"
"2","301","0","0","0","0"
"3","302","0","0","0","0"
"4","303","0","0","0","0"
"5","304","0","0","0","0"
"6","305","0","0","0","0"
"7","306","0","0","0","0"
"8","307","0","0","0","0"
"9","308","0","0","0","0"
"10","309","0","0","0","0"
"11","310","0","0","0","0"
"12","311","0","0","0","0"
"13","312","0","0","0","0"
"14","313","0","0","0","0"
"15","314","0","0","0","0"
"16","315","0","0","0","0"
"17","316","0","0","0","0"
"18","317","0","0","0","0"
"19","318","0","0","0","0"
"20","319","0","0","0","0"
"21","320","0","0","0","0"
"22","321","0","0","0","0"
"23","322","0","0","0","0"
"24","323","0","0","0","0"
"25","324","0","0","0","0"
"26","325","0","0","0","0"
"27","326","0","0","0","0"
"28","327","0","0","0","0"
"29","328","0","0","0","0"
"30","329","0","0","0","0"
"31","330","0","0","0","0"
"32","331","0","0","0","0"
"33","332","0","0","0","0"
"34","333","0","0","0","0"
"35","334","0","0","0","0"
"36","335","0","0","0","0"
"37","336","0","0","0","0"
"38","337","0","0","0","0"
"39","338","0","0","0","0"
"40","339","0","0","0","0"
"41","340","0","0","0","0"
"42","341","0","0","0","0"
"43","342","0","0","0","0"
"44","343","0","0","0","0"
"45","344","0","0","0","0"
"46","345","0","0","0","0"
"47","346","0","0","0","0"
"48","347","0","0","0","0"
"49","348","0","0","0","0"
"50","349","0","0","0","0"
"51","350","0","0","0","0.000"
"52","351","0.001","0","0","0.000"
"53","352","0.001","0","0","0.000"
"54","353","0.001","0","0","0.000"
"55","354","0.001","0","0","0.00"
"56","355","0.001","0","0","0.000"
"57","356","0.001","0","0","0.000"
"58","357","0.001","0","0","0.000"
"59","358","0.001","0","0","0.000"
"60","359","0.001","0","0","0.000"
"61","360","0.001","0","0","0.000"
"62","361","0.002","0","0","0.000"
"63","362","0.002","0","0","0.000"
"64","363","0.002","0","0","0.000"
"65","364","0.003","0","0","0.000"
"66","365","0.003","0","0","0.000"
"67","366","0.003","0","0","0.000"
"68","367","0.003","0","0","0.000"
"69","368","0.004","0","0","0.000"
"70","369","0.004","0","0","0.000"
"71","370","0.004","0","0","0.000"
"72","371","0.005","0","0","0.000"
"73","372","0.005","0","0","0"
"74","373","0.005","0","0","0"
"75","374","0.005","0","0","0"
"76","375","0.006","0","0","0"
"77","376","0.006","0","0","0"
"78","377","0.006","0","0","0"
"79","378","0.007","0","0","0"
"80","379","0.007","0","0","0"
"81","380","0.007","0","0","0"
"82","381","0.008","0","0","0.000"
"83","382","0.008","0","0","0.000"
"84","383","0.008","0","0","0.000"
"85","384","0.008","0","0","0.000"
"86","385","0.009","0","0","0.000"
"87","386","0.009","0","0","0.000"
"88","387","0.01","0","0","0.000"
"89","388","0.012","0","0","0.000"
