"","wavelength","irradiance_20m","irradiance_50m","irradiance_100m","irradiance_200m"
"1","300","0.002","0","0","0"
"2","301","0.002","0","0","0"
"3","302","0.002","0","0","0"
"4","303","0.002","0","0","0"
"5","304","0.003","0","0","0"
"6","305","0.003","0","0","0"
"7","306","0.003","0","0","0"
"8","307","0.003","0","0","0"
"9","308","0.003","0","0","0"
"10","309","0.003","0","0","0"
"11","310","0.004","0","0","0"
"12","311","0.004","0","0","0"
"13","312","0.004","0","0","0"
"14","313","0.005","0","0","0"
"15","314","0.005","0","0","0"
"16","315","0.005","0","0","0"
"17","316","0.005","0","0","0"
"18","317","0.006","0","0","0"
"19","318","0.006","0","0","0"
"20","319","0.007","0","0","0"
"21","320","0.007","0","0","0"
"22","321","0.008","0","0","0"
"23","322","0.008","0","0","0"
"24","323","0.009","0","0","0"
"25","324","0.009","0","0","0"
"26","325","0.01","0","0","0"
"27","326","0.01","0","0","0"
"28","327","0.011","0","0","0"
"29","328","0.012","0","0","0"
"30","329","0.013","0","0","0"
"31","330","0.014","0","0","0"
"32","331","0.014","0","0","0"
"33","332","0.015","0","0","0"
"34","333","0.016","0","0","0"
"35","334","0.017","0","0","0"
"36","335","0.018","0","0","0"
"37","336","0.02","0","0","0"
"38","337","0.021","0","0","0"
"39","338","0.022","0","0","0"
"40","339","0.024","0","0","0"
"41","340","0.025","0","0","0"
"42","341","0.027","0","0","0"
"43","342","0.028","0","0","0"
"44","343","0.03","0","0","0"
"45","344","0.032","0","0","0"
"46","345","0.034","0.001","0","0"
"47","346","0.036","0.001","0","0"
"48","347","0.038","0.001","0","0"
"49","348","0.041","0.001","0","0"
"50","349","0.043","0.001","0","0"
"51","350","0.046","0.001","0","0"
"52","351","0.049","0.001","0","0"
"53","352","0.052","0.001","0","0"
"54","353","0.055","0.001","0","0"
"55","354","0.056","0.002","0","0"
"56","355","0.058","0.002","0","0"
"57","356","0.06","0.002","0","0"
"58","357","0.062","0.002","0","0"
"59","358","0.065","0.002","0","0"
"60","359","0.067","0.003","0","0"
"61","360","0.069","0.003","0","0"
"62","361","0.071","0.003","0","0"
"63","362","0.074","0.004","0","0"
"64","363","0.079","0.004","0","0"
"65","364","0.085","0.005","0","0"
"66","365","0.091","0.006","0","0"
"67","366","0.098","0.007","0","0"
"68","367","0.105","0.007","0","0"
"69","368","0.113","0.008","0","0"
"70","369","0.117","0.009","0","0"
"71","370","0.121","0.009","0","0"
"72","371","0.125","0.01","0","0"
"73","372","0.13","0.011","0","0"
"74","373","0.134","0.011","0","0"
"75","374","0.138","0.012","0","0"
"76","375","0.143","0.013","0","0"
"77","376","0.148","0.013","0","0"
"78","377","0.153","0.014","0","0"
"79","378","0.156","0.015","0","0"
"80","379","0.159","0.016","0","0"
"81","380","0.162","0.017","0","0"
"82","381","0.166","0.018","0","0"
"83","382","0.169","0.019","0","0"
"84","383","0.172","0.019","0","0"
"85","384","0.167","0.019","0.001","0"
"86","385","0.162","0.02","0.001","0"
"87","386","0.157","0.02","0.001","0"
"88","387","0.152","0.021","0.001","0"
"89","388","0.161","0.023","0.001","0"
"90","389","0.171","0.025","0.001","0"
"91","390","0.182","0.027","0.001","0"
"92","391","0.193","0.03","0.001","0"
"93","392","0.206","0.032","0.002","0"
"94","393","0.219","0.034","0.002","0"
"95","394","0.222","0.035","0.002","0"
"96","395","0.222","0.036","0.002","0"
"97","396","0.222","0.037","0.002","0"
"98","397","0.222","0.038","0.002","0"
"99","398","0.228","0.045","0.003","0"
"100","399","0.261","0.053","0.003","0"
"101","400","0.299","0.062","0.004","0"
"102","401","0.343","0.073","0.005","0"
"103","402","0.394","0.086","0.006","0"
"104","403","0.421","0.094","0.006","0"
"105","404","0.432","0.098","0.007","0"
"106","405","0.442","0.102","0.008","0"
"107","406","0.453","0.106","0.008","0"
"108","407","0.464","0.111","0.009","0"
"109","408","0.476","0.115","0.01","0"
"110","409","0.488","0.12","0.011","0"
"111","410","0.5","0.125","0.012","0"
"112","411","0.512","0.129","0.013","0"
"113","412","0.525","0.134","0.014","0"
"114","413","0.536","0.139","0.015","0"
"115","414","0.543","0.144","0.016","0"
"116","415","0.549","0.149","0.017","0"
"117","416","0.556","0.154","0.018","0"
"118","417","0.563","0.159","0.019","0"
"119","418","0.571","0.165","0.02","0"
"120","419","0.578","0.167","0.022","0"
"121","420","0.585","0.17","0.023","0"
"122","421","0.593","0.172","0.024","0"
"123","422","0.6","0.174","0.025","0"
"124","423","0.603","0.176","0.025","0.001"
"125","424","0.598","0.179","0.026","0.001"
"126","425","0.594","0.181","0.026","0.001"
"127","426","0.589","0.183","0.027","0.001"
"128","427","0.584","0.186","0.027","0.001"
"129","428","0.579","0.187","0.028","0.001"
"130","429","0.575","0.187","0.028","0.001"
"131","430","0.57","0.187","0.029","0.001"
"132","431","0.565","0.187","0.029","0.001"
"133","432","0.561","0.187","0.03","0.001"
"134","433","0.557","0.195","0.032","0.001"
"135","434","0.576","0.204","0.033","0.001"
"136","435","0.595","0.214","0.035","0.001"
"137","436","0.615","0.224","0.037","0.001"
"138","437","0.633","0.235","0.039","0.001"
"139","438","0.642","0.241","0.041","0.001"
"140","439","0.651","0.242","0.042","0.001"
"141","440","0.661","0.243","0.042","0.001"
"142","441","0.67","0.244","0.043","0.001"
"143","442","0.68","0.245","0.043","0.001"
"144","443","0.69","0.246","0.043","0.001"
"145","444","0.7","0.247","0.044","0.001"
"146","445","0.71","0.248","0.044","0.001"
"147","446","0.718","0.249","0.045","0.001"
"148","447","0.724","0.25","0.045","0.001"
"149","448","0.73","0.251","0.045","0.001"
"150","449","0.736","0.253","0.045","0.001"
"151","450","0.743","0.256","0.045","0.001"
"152","451","0.749","0.258","0.045","0.001"
"153","452","0.755","0.261","0.045","0.001"
